student_id,first_name,last_name,age,major,GPA,enrollment_date,graduation_date,advisor,study_mode,stuDent_loCAtion,duplicate_id,misc_notes,temporary_code,student_notes,is_graduated,name_combined,archived
987,Elisha,Stallworthy,twenty-five,Computer Science,10.02,2019-07-26,08/23/2024, Elisha Stallworthy ,Hybrid,oncampus ,987,Good,ABC999,,Yes,,True
204,Irwinn,Bowerm�n,25,Biology,15.0,2020-04-10,07/25/2025, yrwinn Bowerman ,Full-time,off campus,204-dup,Check GPA,XYZ204,,False,,False
306,Emilio,Frere,25,History,good,2020-12-11,, Emilio Frere ,Part-time,on-campus,306_,Needs follow-up,,,True,,False
492,Guilbert,Silcocks,20,biology,2.21,07/21/2021,04/01/2024, Guilbert Silcocks ,Part-time,off campus,492,Check GPA,,,0,,True
936,Lanita,Costa,19,Biology,2.34,04/07/2021,09/26/2024, Lanita Costa ,Full-time,oncampus ,936-dup,Check GPA,,Advisor issue,True,"Costa, Lanita",False
939,Amalea,,23,History,0.61,2020-09-10,invalid-date,Amalea Boliver,Full-time,OFFCAMPUS,939,Needs follow-up,,,True,", Amalea",False
62,Stormie,Lob,23,HISTORY,1.71,2019-01-22,2023-07-12,Stormie Lob,Online,on-campus,62-dup,N/A,,,1,,False
773,Aila,de Najera,23,,2.11,2021-01-12,06/01/2024,Aila de Najera,Online,OFFCAMPUS,773,N/A,,,True,,False
917,Cosmo,Jaylock,20,,1.04,2019-08-12,02/04/2025, Cosmo Jaycock ,Online,,917,Check GPA,ABC999,,False,"Jaylock, Cosmo",True
560,,Manuele,24 months,History,1.23,2019-07-16,2023-01-28,Burg Manuele,Online,OFFCAMPUS,560-dup,,,Advisor issue,False,,False
332,,Mountstephen,29,Biology,1.76,2020-01-06,09/05/2025,Geordie Mountstephen,Full-time,on-campus,332,Check GPA,,,No,"Mountstephen, ",False
7,Liliane,Slatter,25,History,1.69,2019-07-01,2025-04-11,Liliane Slatter,Full-time,OFFCAMPUS,7-repeat,Check GPA,ABC999,,No,,False
859,Brynn,Gaskamp,22,biology,1.28,11/09/2019,2024-05-15,Brynn Gaskamp,Full-time,on-campus,859-repeat,Needs follow-up,XYZ859,,0,,True
943,Drucie,Leivers,18,Biology,15.0,07/21/2020,05/13/2025,Drucie Leivers,Full-time,off campus,943-dup,Check GPA,,,0,"Leivers, Drucie",False
288,Abbi,Benns,18,,2.08,08/04/2021,03/27/2025, Abbi Benns ,Full-time, On-Campus ,288 extra,Advisor not assigned,,,True,"Benns, Abbi",False
501,Ernie,,24,Biology,0.53,09/18/2023,02/10/2021,Ernie Dorkins,Full-time,off campus,501-dup,Needs follow-up,,,No,", Ernie",False
191,Leonie,Bitchener,24,Biology,15.0,06/01/2021,2023-04-11,Leonie Bitchener,Part-time,off campus,191-dup,Check GPA,ABC999,Correct GPA,0,,False
796,Vernen,Manna,19,,1.53,09/06/2019,2024-07-10,Vernen Manna,Full-time,off campus,796_,N/A,,Correct GPA,0,,True
270,Gilemette,,2 decades,Biology,3.11,2021-06-25,04/25/2024,Gilemette Watsam,Part-time, On-Campus ,270_,Check GPA,,,No,,True
591,Shirleen,Planks,21,,11.65,12/14/2019,03/19/2024,Shirleen Planks,Full-time,on-campus,591_,OK,,,No,,False
734,Roxie,Tuley,21,,2.38,2021-01-03,01/29/2025, Roxie Tuley ,Online,off campus,734-repeat,OK,XYZ734,,1,"Tuley, Roxie",False
470,Archibaluo,Cawsey,unknown,,invalid,garbled_date,2024-03-24,Archibaldo Cawsey,Part-time,oncampus ,470,Advisor not assigned,XYZ470,,False,,False
649,Karin,Hansmann,18,CompSci,3.56,03/15/2021,2023-12-10,Karin Hansmann,Full-time,on-campus,649-repeat,,XYZ649,,True,,False
48,Orelle,Bosward,23,History,3.7error,03/03/2020,10/10/2023,Orelle Bosward,Hybrid, On-Campus ,48-dup,Check GPA,,Correct GPA,Yes,,False
323,Sheela,Ledwich,22,Computer Science,1.2,2021-05-11,08/05/2024,Sheela Ledwich,Part-time,on-campus,323 extra,Check GPA,,Advisor issue,No,,False
720,Richmond,Dickin,24,Biology,good,09/16/2021,03/09/2023,Richmond Dickin,Full-time,on-campus,720_,N/A,,,No,,False
719,Edi,Sondland,19,History,1.7,03/11/2019,03/23/2025,,Part-time,off campus,719-dup,Needs follow-up,,,False,,False
959,Cullen,Phuprate,23,,1.88error,03/20/2020,12/12/2024, Cullen Phuprate ,Full-time,off campus,959,N/A,,Needs review,True,,True
356,Lem,MacNulty,14,,invalid,garbled_date,06/04/2025, Lem MacNulty ,Full-time, On-Campus ,356-repeat,Good,,Correct GPA,True,,False
805,Keri,Snasel,19,,invalid,garbled_date,2024-03-17,Keri Snasel,Full-time,off campus,805-repeat,Good,,Correct GPA,True,,False
217,Balduin,Dasent,24,Computer Science,10.54,06/21/2021,2023-04-23,Balduin Dasent,Part-time, On-Campus ,217-repeat,Check GPA,XYZ217,,True,,False
439,Alicia,Gaven,24,,invalid,garbled_date,2019-12-23, Alicia Gaven ,Part-time,off campus,439,N/A,XYZ439,,No,"Gaven, Alicia",True
921,Ignacius,T�rtt,25,History,15.0,2021-08-25,02/18/2024, Ignacius Tartt ,Hybrid,off campus,921-repeat,Check GPA,ABC999,,False,"T�rtt, Ignacius",False
927,Imojean,Sparkwill,20,Biology,1.85,01/22/2020,2023-09-11, Imojean Sparkwill ,Hybrid,on-campus,927 extra,N/A,,,Yes,,False
405,Norrie,Gallardo,20,Computer Science,3.62,04/20/2020,10/01/2023, Norrie Gallardo ,Part-time,off campus,405_,OK,ABC999,,Yes,,True
335,Bernardine,Jeandeau,25,biology,-3.0,11/06/2019,2025-04-29,Bernardine Jeandeau,Part-time, On-Campus ,335 extra,Needs follow-up,,Correct GPA,True,,False
125,Joshuah,Surcombe,19,Computer Science,15.0,08/08/2023,2019-08-09,Joshuah Surcombe,Full-time, On-Campus ,125_,Check GPA,,,Yes,"Surcombe, Joshuah",False
124,Jorge,Girardez,102,Computer Science,3.31,2020-07-31,03/15/2025,Jorge Girardez,Full-time,on-campus,124-dup,Needs follow-up,,,True,,False
387,Cass,Sheal,16,Biology,3.76,12/28/2020,12/04/2025, Cass Sheal ,Online,oncampus ,387,,,,Yes,,True
254,Giovanna,Maccari,23,Biology,-3.0,invalid-date,, Giovanna Maccari ,Full-time, On-Campus ,254,Check GPA,,,No,,False
970,Avril,As��f,18,,3.06,12/16/2025,2019-09-14,Avril Asaaf,Part-time,oncampus ,970_,N/A,,,True,,False
718,Quintina,Mcrullen,18,history,3.29,2021-11-08,12/03/2023, Quintina McCullen ,Hybrid,off campus,718-dup,Advisor not assigned,,,False,,False
254,Giovanna,Maccari,23,Biology,0.28,invalid-date,,Giovanna Maccari,Full-time, On-Campus ,254,Check GPA,,,True,,False
791,Nadean,Sedger,19,,good,2021-08-26,08/07/2024,,Online,on-campus,791,Needs follow-up,,,No,,False
432,Leicester,,21,Computer Science,1.51,03/23/2021,,Leicester Durdan,Online,OFFCAMPUS,432 extra,Advisor not assigned,,,True,,False
968,Iggie,Anetts,unknown,,invalid,garbled_date,2023-06-21,Iggie Anetts,Full-time,on-campus,968,N/A,,,Yes,"Anetts, Iggie",False
679,Reynard,Seiler,23,,3.43,2023-07-14,03/20/2021, Reynard Seiler ,Full-time,off campus,679-repeat,N/A,XYZ679,Advisor issue,0,"Seiler, Reynard",False
452,Gabe,Exblow,21,Computer Science,2.02error,07/27/2020,invalid-date, Gabe Emblow ,Full-time,off campus,452 extra,Check GPA,,Advisor issue,False,,False
574,Ferne,Mickleburgh,22,,invalid,garbled_date,01/18/2025,Ferne Mickleburgh,Online,oncampus ,574,N/A,XYZ574,,False,"Mickleburgh, Ferne",False
664,Broddy,Belt,25,Biology,0.09,05/17/2020,09/22/2023, Broddy Belt ,Full-time,off campus,664,Advisor not assigned,XYZ664,Correct GPA,0,,False
847,Gwenbolin,Farrent,18,,invalid,garbled_date,2021-10-27,Gwendolin Faruent,Part-time, On-Campus ,847,N/A,,,0,,False
941,,Pimlett,17,Computer Science,0.99,2020-10-03,11/16/2024,,Online,oncampus ,941-dup,OK,,,True,,False
10,Nathnn,Patesel,25,,3.61,invalid-date,2023-10-24,Natal Patesel,Full-time,on-campus,10-dup,,XYZ10,Advisor issue,No,,False
92,Jeremias,T�rb�tt,18,CompSci,2.69,06/29/2021,08/28/2023,Jeremias Tarbatt,Full-time,on-campus,92-dup,N/A,,,True,,False
533,Shnridan,Crowth,23,,1.84,2021-08-06,12/26/2025,Sheridan Crowth,Full-time,off campus,533,Advisor not assigned,,,0,,False
94,Emmalyn,Dyte,24,Computer Science,15.0,2019-06-19,2025-12-02, Emmalyn Dyte ,Full-time,on-campus,94,Check GPA,,,False,"Dyte, Emmalyn",False
413,Jacquelynn,Wardle,twenty-five,computer science,2.01,2019-03-24,2024-10-06,Jacquelynn Wardle,Full-time,on-campus,413 extra,N/A,,Correct GPA,False,"Wardle, Jacquelynn",False
879,Melita,Tebbutt,twenty-five,,invalid,garbled_date,2024-12-04,Melita Tebbutt,Part-time,off campus,879_,Needs follow-up,,,1,,False
850,Abbie,Pettman,25,History,2.37,11/16/2020,10/22/2023,,Full-time,off campus,850_,Needs follow-up,,,True,,False
425,Raul,De Winton,22,History,15.0,2019-06-03,01/11/2024,Raul De Winton,Full-time,on-campus,425,Check GPA,XYZ425,Correct GPA,0,,False
141,Magdalenp,Foreman,18,Computer Science,good,2021-05-16,2024-10-25, Magdalene Foreman ,Full-time,off campus,141-repeat,Advisor not assigned,,,Yes,,False
203,Karney,Shrimptone,19,,invalid,garbled_date,2023-03-31,Karney Shrimptone,Hybrid, On-Campus ,203,Check GPA,,,1,,False
131,,Yuilf,twenty-five,Computer Science,2.48,2019-05-11,11/19/2025,Lynnelle Yuill,Full-time,off campus,131-dup,Needs follow-up,,Correct GPA,0,"Yuilf, ",True
185,Della,Astell,22,Biology,0.48,2020-02-05,2023-06-09,Della Astell,Full-time,,185 extra,Advisor not assigned,,,1,,False
922,Florry,Valente,22,HISTORY,2.12,2020-09-04,03/26/2025, Florry Valente ,Full-time,on-campus,922 extra,Advisor not assigned,,,1,,False
821,Bobbie,Long,22,,3.25,12/30/2019,2023-09-26, Bobbie Long ,Full-time,off campus,821_,Check GPA,XYZ821,,No,,False
597,Devland,Bromet,twenty-five,History,3.59,2019-08-24,2024-05-06,Devland Bromet,Part-time, On-Campus ,597_,OK,ABC999,,True,"Bromet, Devland",False
556,Ambrosio,Matysiak,22,Computer Science,1.89,02/11/2021,2024-01-04,Ambrosio Matysiak,Online,on-campus,556_,Advisor not assigned,XYZ556,Advisor issue,True,,False
40,Hayward,Lukianovich,21,Computer Science,3.57,2021-11-07,06/29/2023,Hayward Lukianovich,Full-time,oncampus ,40 extra,Needs follow-up,XYZ40,,0,,False
540,Trixy,Chiommiwnti,twenty-five,ComputeroScience,good,06/04/2020,2025-01-15,Trixy Chiommienti,Part-time,oncampus ,540,OK,XYZ540,,False,,False
380,Piper,Iwanczyk,20,History,0.75,2019-01-13,2024-11-23,Piper Iwanczyk,Part-time,oncampus ,380 extra,Advisor not assigned,,Advisor issue,False,,False
498,Zandra,Robak,30,Biology,0.6,2019-05-16,07/02/2023,Zandra Robak,Part-time,on-campus,498 extra,OK,,,False,,False
486,Brit,,-5,Computer Science,1.63,05/17/2020,2024-08-20, Brit Eseler ,Full-time,on-campus,486 extra,Good,,,No,,False
601,Leanna,Gookey,25,Computer Science,0.93,12/09/2020,2024-04-14,Leanna Gookey,Part-time,oncampus ,601-dup,N/A,XYZ601,Needs review,True,,False
319,Cyndia,Bogges,19,Biology,2.04,2020-06-23,09/14/2023,Cyndia Bogges,Full-time,off campus,319_,Needs follow-up,,,False,,False
892,Krishna,Eskrick,22,History,1.06,2020-07-16,08/17/2023,,Full-time,on-campus,892,N/A,,,No,,False
265,Consolata,Shurville,2 decades,history,3.62,11/20/2021,2025-01-31,,Full-time,off campus,265_,N/A,,,1,"Shurville, Consolata",False
344,Snalom,Burl,18,Biology,0.75error,2021-02-14,04/03/2025,Shalom Burl,Full-time,off campus,344-repeat,,,,True,"Burl, Snalom",False
384,vuana,Brunsden,24,Biology,0.49,12/08/2019,02/14/2023,Juana Brunsden,Full-time,off campus,384-repeat,Needs follow-up,,Correct GPA,No,,False
839,Klarika,Coppeard,18,History,2.88,2021-05-24,2025-01-15, Klarika Coppeard ,Full-time, On-Campus ,839-repeat,Advisor not assigned,,,No,,False
538,Kelsy,Dunsmuir,21,Computer Science,good,2021-07-23,10/24/2023, pelsy Dunsmuir ,Part-time,on-campus,538_,N/A,ABC999,Needs review,Yes,,False
28,Gregorius,Wiggett,20,Computer Science,2.97,09/25/2020,2025-06-22,Gregorius Wiggett,Full-time,on-campus,28 extra,N/A,,,No,,False
500,Marie-jeanne,Walbh,-5,,3.5,,05/24/2025,Marie-jeanne Walby,Full-time,OFFCAMPUS,500,Advisor not assigned,,,Yes,,False
488,Yorgo,Maund,24,Computer Science,2.25,11/14/2019,08/18/2023, Yorgo Maund ,Full-time,on-campus,488 extra,Needs follow-up,XYZ488,,1,"Maund, Yorgo",False
721,,Gilliver,24,History,3.34,2019-11-28,04/01/2024,Marika Gilliver,Full-time,,721-dup,Check GPA,XYZ721,,True,"Gilliver, ",False
646,Niles,,24 months,History,1.37,2021-10-13,07/06/2025, Niles Oldridge ,Online, On-Campus ,646-dup,N/A,,,No,,False
715,Jeff,Durkin,21,giology,3.67,2025-02-04,04/02/2019, Jeff Durkin ,Full-time,on-campus,715 extra,,,,Yes,,False
281,Agata,pant,23,Histpry,3.61error,04/15/2021,09/10/2024,Agata Mant,Full-time,on-campus,281,N/A,,,No,,False
457,Joycelin,Fawlks,24,,invalid,garbled_date,2025-11-11, Joycelin Fawlks ,Online,off campus,457,Needs follow-up,ABC999,Needs review,False,"Fawlks, Joycelin",False
914,Amalie,Keeves,22,Biology,1.95,10/16/2020,12/21/2025,Amalie Keebes,Full-time,on-campus,914 extra,Good,,,True,,False
1000,Bary,Dahlbom,19,,3.03,05/14/2021,2024-10-11,Barrie Dahlbom,Online, On-Campus ,1000-dup,Good,XYZ1000,,True,,False
460,Thaddus,McGuigan,22,,2.25,01/15/2019,2023-05-05,Thaddus McGuigan,Online,on-campus,460,N/A,XYZ460,Needs review,1,"McGuigan, Thaddus",False
179,Enrick,Larenson,18,Computer Science,2.01,04/24/2020,06/02/2023,Enrica Larenson,Part-time,OFFCAMPUS,179,Needs follow-up,,,True,,False
579,Betti,Scurg,unknown,biologw,2.41,2021-04-07,2025-07-12,Betti Scurr,Full-time,off campus,579 extra,N/A,ABC999,,False,,False
708,zlemmie,Hunnicutt,18,Computel Science,3.43,06/30/2019,2023-08-18,Clemmie Hunnicutt,Full-time,off campus,708 extra,Check GPA,,Correct GPA,False,,False
147,Cosetta,Dyet,19,Biology,3.85,2021-11-06,2025-03-22, Cosetta Dyet ,Full-time,on-campus,147 extra,Check GPA,,,1,"Dyet, Cosetta",False
361,Miriam,Tollmache,21,Computer Science,1.12,2021-03-15,2024-06-07,Miriam Tollmache,Part-time,on-campus,361 extra,Good,,Advisor issue,True,,False
253,Cecile,Tidbury,24 months,History,2.46,05/04/2019,2024-11-20,Cecile Tidbury,Full-time, On-Campus ,253-dup,Needs follow-up,,,1,,False
926,Alfy,Eastope,20,biology,2.06,01/25/2021,2024-04-28, Alfy Eastope ,Part-time,on-campus,926-repeat,N/A,XYZ926,,Yes,,False
467,Jeremy,Ferryman,25,Biology,1.19,2021-05-14,2025-04-30,Jeremy Ferryman,Part-time,off campus,467_,Needs follow-up,,,1,,True
981,Melesa,Kift,24,Biology,1.79,01/29/2019,2025-03-19, Melesa Kift ,Full-time,off campus,981 extra,OK,,,Yes,,False
772,Claudina,Di Franceschi,20,history,1.64,2021-11-28,05/17/2023, Claudina Di Franceschi ,Part-time, On-Campus ,772-repeat,Needs follow-up,,,1,,False
739,Goldy,Ivory,21,,1.44,08/10/2020,06/15/2023, poldy Ivory ,Full-time,on-campus,739_,Advisor not assigned,,Correct GPA,1,,True
396,Mylgs,Babrip,19,Computer Science,2.9,04/04/2021,2025-02-20,Myles Batrip,Full-time,off campus,396 extra,N/A,,,No,,False
325,Alvina,Lambdean,19,History,0.97,10/19/2021,03/06/2025,Alvina Lambdean,Full-time,off campus,325-dup,Good,XYZ325,,Yes,,False
883,Granthem,Spindler,2 decades,Hibtory,3.8,08/11/2019,2025-02-04,Granthem Spindler,Part-time,off campus,883-dup,Check GPA,ABC999,,1,,False
543,Merl,Hainlie,21,Biology,3.22,08/07/2021,12/26/2024,Merl Haitlie,Full-time,on-campus,543 extra,Advisor not assigned,,Needs review,No,,False
53,Kaia,Bestall,25,Computer Science,0.54,04/30/2021,03/07/2025,Kaia Bestall,Part-time, On-Campus ,53 extra,N/A,,,True,,True
838,Carmine,Fleote,19,History,1.48,10/14/2019,,Carmine Fleote,Full-time,off campus,838,Good,,Advisor issue,No,,False
814,Mack,Kilcoyne,25,,invalid,garbled_date,2024-03-12,Mack Kilcoyne,Full-time,OFFCAMPUS,814,Check GPA,,,Yes,,False
59,Rudolph,Rosenblath,24,,invalid,garbled_date,08/10/2025,Rudolph Rosenblath,Online,oncampus ,59-repeat,Needs follow-up,,,No,"Rosenblath, Rudolph",False
93,Sharla,Kleeborn,22,Biology,3.19,,2025-05-17, SharlacKleeborn ,Full-time,off campus,93,N/A,,,Yes,,False
278,Aubrette,Payton,unknown,history,2.25,2019-04-10,03/13/2025,Aubrette Payton,Full-time,on-campus,278 extra,Check GPA,XYZ278,,No,"Payton, Aubrette",False
236,Shawn,,21,History,1.11,2020-03-12,2024-02-08, Shawn Bertholin ,Full-time,off campus,236_,Needs follow-up,,Needs review,No,,False
705,Jeralee,Scare,24,CompSci,2.24,10/11/2020,10/30/2023,Jeralee Scare,Full-time,OFFCAMPUS,705 extra,Check GPA,ABC999,,1,"Scare, Jeralee",False
54,Natty,Tiltaan,21,Historh,0.37,2020-05-20,2023-06-10,Natty Tiltman,Full-time,on-campus,54_,OK,,,No,,False
764,Arleen,Daubney,2 decades,,2.23,06/29/2019,2024-12-14, Arleen Daubney ,Full-time,off campus,764 extra,Check GPA,ABC999,,False,"Daubney, Arleen",False
669,Padhn,Cosgry,20,History,0.14,05/23/2019,05/23/2023, Padget Cosgry ,Full-time,OFFCAMPUS,669_,Advisor not assigned,,,False,,False
192,Katharina,McAlroy,18,Computer Science,1.03,2021-06-24,2023-08-24,Katharina McAlroy,Full-time,on-campus,192 extra,N/A,,,0,"McAlroy, Katharina",False
976,Brockie,Zuppa,25,Biology,good,2020-02-16,06/19/2025, Brockie Zuppa ,Full-time,off campus,976_,Check GPA,,,True,,False
367,Ramonda,Ivushkin,21,,invalid,garbled_date,2024-07-01,Ramonda Ivushkin,Full-time,off campus,367-repeat,OK,ABC999,,True,"Ivushkin, Ramonda",False
817,Anetta,Virr,20,History,0.32,,2023-04-17,fnetta Virr,Hybrid,oncampus ,817-dup,Good,,,True,,True
741,Hamlin,Iv�nuschk�,24 months,History,0.64,09/24/2020,10/23/2023,Hamlin Ivanuschka,Full-time,off campus,741,Advisor not assigned,,,False,,True
337,Pegeen,Petry,20,Histbry,10.45,2021-01-19,10/06/2025, Pegeen Petry ,Full-time, On-Campus ,337,Needs follow-up,,,False,,False
273,Arnie,Quartermain,23,,invalid,garbled_date,2024-12-14,Arnie Quartermain,Full-time,on-campus,273-repeat,Advisor not assigned,ABC999,,No,,False
641,Rennie,Scrowston,18,History,1.58,10/19/2019,03/03/2024,Rennie Scrowiton,Full-time,off campus,641_,Check GPA,XYZ641,,0,,True
304,Loes,Sprionghall,19,Biology,11.69,05/14/2019,2023-09-13, LoisqSprionghall ,Part-time,on-campus,304-dup,N/A,,,Yes,"Sprionghall, Loes",False
872,Bordie,Squibb,24,CompSci,0.96,2025-02-17,06/04/2019,Bordie Squibb,Full-time, On-Campus ,872,Needs follow-up,,,1,,False
212,Alidia,Clyde,24 months,Biology,0.57,2019-06-04,06/05/2023,Alidia Clyde,Online,off campus,212-dup,OK,XYZ212,,0,,False
795,Concettina,Ferrey,102,Biology,3.38,2021-02-07,06/27/2025,Concettina Ferrey,Full-time,oncampus ,795-repeat,OK,,Needs review,True,,False
