student_id,first_name,last_name,age,major,GPA,enrollment_date,graduation_date,advisor,study_mode,stuDent_loCAtion
845,Burton,Skittrell,20,Biology,0.67,12/14/2024,2019-07-28,Burton Skittrell,Full-time,off campus
776,Nestor,Errichiello,23,History,11.46,2021-01-31,2023-11-06, Nestor Errichiello ,Full-time,oncampus 
946,Elisabet,Croxford,18,Biology,3.65,2019-06-05,10/22/2024,Elisabet Croxford,Hybrid, On-Campus 
987,Elisha,Stallworthy,18,Computer Science,10.02,2019-07-26,08/23/2024, Elisha Stallworthy ,Hybrid,oncampus 
204,Irwinn,Bowerman,25,Biology,15.0,2020-04-10,07/25/2025, yrwinn Bowerman ,Full-time,off campus
306,Emilio,Frere,25,History,good,2020-12-11,, Emilio Frere ,Part-time,on-campus
492,Guilbert,Silcocks,20,Biology,2.21,07/21/2021,04/01/2024, Guilbert Silcocks ,Part-time,off campus
936,Lanita,Costa,19,Biology,2.34,04/07/2021,09/26/2024, Lanita Costa ,Full-time,oncampus 
939,Amalea,Boliver,23,History,0.61,2020-09-10,invalid-date,Amalea Boliver,Full-time,OFFCAMPUS
62,Stormie,Lob,23,History,1.71,2019-01-22,2023-07-12,Stormie Lob,Online,on-campus
773,Aila,de Najera,23,Computer Science,2.11,2021-01-12,06/01/2024,Aila de Najera,Online,OFFCAMPUS
917,Cosmo,Jaycock,20,Computer Science,1.04,2019-08-12,02/04/2025, Cosmo Jaycock ,Online,
560,Burg,Manuele,22,History,1.23,2019-07-16,2023-01-28,Burg Manuele,Online,OFFCAMPUS
332,Geordie,Mountstephen,24,Biology,1.76,2020-01-06,09/05/2025,Geordie Mountstephen,Full-time,on-campus
7,Liliane,Slatter,25,History,1.69,2019-07-01,2025-04-11,Liliane Slatter,Full-time,OFFCAMPUS
859,Brynn,Gaskamp,22,Biology,1.28,11/09/2019,2024-05-15,Brynn Gaskamp,Full-time,on-campus
943,Drucie,Leivers,18,Biology,15.0,07/21/2020,05/13/2025,Drucie Leivers,Full-time,off campus
288,Abbi,Benns,18,History,2.08,08/04/2021,03/27/2025, Abbi Benns ,Full-time, On-Campus 
501,Ernie,Dorkins,24,Biology,0.53,09/18/2023,02/10/2021,Ernie Dorkins,Full-time,off campus
191,Leonie,Bitchener,24,Biology,15.0,06/01/2021,2023-04-11,Leonie Bitchener,Part-time,off campus
796,Vernen,Manna,19,Biology,1.53,09/06/2019,2024-07-10,Vernen Manna,Full-time,off campus
270,Gilemette,Watsam,19,Biology,3.11,2021-06-25,04/25/2024,Gilemette Watsam,Part-time, On-Campus 
591,Shirleen,Planks,21,History,11.65,12/14/2019,03/19/2024,Shirleen Planks,Full-time,on-campus
734,Roxie,Tuley,21,Computer Science,2.38,2021-01-03,01/29/2025, Roxie Tuley ,Online,off campus
470,Archibaldo,Cawsey,23,Biology,invalid,garbled_date,2024-03-24,Archibaldo Cawsey,Part-time,oncampus 
649,Karin,Hansmann,18,Computer Science,3.56,03/15/2021,2023-12-10,Karin Hansmann,Full-time,on-campus
48,Orelle,Bosward,23,History,3.7error,03/03/2020,10/10/2023,Orelle Bosward,Hybrid, On-Campus 
323,Sheela,Ledwich,22,Computer Science,1.2,2021-05-11,08/05/2024,Sheela Ledwich,Part-time,on-campus
720,Richmond,Dickin,24,Biology,good,09/16/2021,03/09/2023,Richmond Dickin,Full-time,on-campus
719,Edi,Sondland,19,History,1.7,03/11/2019,03/23/2025,,Part-time,off campus
959,Cullen,Phuprate,23,Computer Science,1.88error,03/20/2020,12/12/2024, Cullen Phuprate ,Full-time,off campus
356,Lem,MacNulty,19,History,invalid,garbled_date,06/04/2025, Lem MacNulty ,Full-time, On-Campus 
805,Keri,Snasel,19,Computer Science,invalid,garbled_date,2024-03-17,Keri Snasel,Full-time,off campus
217,Balduin,Dasent,24,Computer Science,10.54,06/21/2021,2023-04-23,Balduin Dasent,Part-time, On-Campus 
439,Alicia,Gaven,24,Computer Science,invalid,garbled_date,2019-12-23, Alicia Gaven ,Part-time,off campus
921,Ignacius,Tartt,25,History,15.0,2021-08-25,02/18/2024, Ignacius Tartt ,Hybrid,off campus
927,Imojean,Sparkwill,20,Biology,1.85,01/22/2020,2023-09-11, Imojean Sparkwill ,Hybrid,on-campus
405,Norrie,Gallardo,20,Computer Science,3.62,04/20/2020,10/01/2023, Norrie Gallardo ,Part-time,off campus
335,Bernardine,Jeandeau,25,Biology,-3.0,11/06/2019,2025-04-29,Bernardine Jeandeau,Part-time, On-Campus 
125,Joshuah,Surcombe,19,Computer Science,15.0,08/08/2023,2019-08-09,Joshuah Surcombe,Full-time, On-Campus 
124,Jorge,Girardez,19,Computer Science,3.31,2020-07-31,03/15/2025,Jorge Girardez,Full-time,on-campus
387,Cass,Sheal,21,Biology,3.76,12/28/2020,12/04/2025, Cass Sheal ,Online,oncampus 
254,Giovanna,Maccari,23,Biology,-3.0,invalid-date,, Giovanna Maccari ,Full-time, On-Campus 
970,Avril,Asaaf,18,Biology,3.06,12/16/2025,2019-09-14,Avril Asaaf,Part-time,oncampus 
718,Quintina,McCullen,18,History,3.29,2021-11-08,12/03/2023, Quintina McCullen ,Hybrid,off campus
254,Giovanna,Maccari,23,Biology,0.28,invalid-date,,Giovanna Maccari,Full-time, On-Campus 
791,Nadean,Sedger,19,Computer Science,good,2021-08-26,08/07/2024,,Online,on-campus
432,Leicester,Durdan,21,Computer Science,1.51,03/23/2021,,Leicester Durdan,Online,OFFCAMPUS
968,Iggie,Anetts,19,Biology,invalid,garbled_date,2023-06-21,Iggie Anetts,Full-time,on-campus
679,Reynard,Seiler,23,Biology,3.43,2023-07-14,03/20/2021, Reynard Seiler ,Full-time,off campus
452,Gabe,Emblow,21,Computer Science,2.02error,07/27/2020,invalid-date, Gabe Emblow ,Full-time,off campus
574,Ferne,Mickleburgh,22,Biology,invalid,garbled_date,01/18/2025,Ferne Mickleburgh,Online,oncampus 
664,Broddy,Belt,25,Biology,0.09,05/17/2020,09/22/2023, Broddy Belt ,Full-time,off campus
847,Gwendolin,Farrent,18,Computer Science,invalid,garbled_date,2021-10-27,Gwendolin Faruent,Part-time, On-Campus 
941,Aggie,Pimlett,22,Computer Science,0.99,2020-10-03,11/16/2024,,Online,oncampus 
10,Natal,Patesel,25,Computer Science,3.61,invalid-date,2023-10-24,Natal Patesel,Full-time,on-campus
92,Jeremias,Tarbatt,18,History,2.69,06/29/2021,08/28/2023,Jeremias Tarbatt,Full-time,on-campus
533,Sheridan,Crowth,23,Biology,1.84,2021-08-06,12/26/2025,Sheridan Crowth,Full-time,off campus
94,Emmalyn,Dyte,24,Computer Science,15.0,2019-06-19,2025-12-02, Emmalyn Dyte ,Full-time,on-campus
413,Jacquelynn,Wardle,22,Computer Science,2.01,2019-03-24,2024-10-06,Jacquelynn Wardle,Full-time,on-campus
879,Melita,Tebbutt,18,Biology,invalid,garbled_date,2024-12-04,Melita Tebbutt,Part-time,off campus
850,Abbie,Pettman,25,History,2.37,11/16/2020,10/22/2023,,Full-time,off campus
425,Raul,De Winton,22,History,15.0,2019-06-03,01/11/2024,Raul De Winton,Full-time,on-campus
141,Magdalene,Foreman,18,Computer Science,good,2021-05-16,2024-10-25, Magdalene Foreman ,Full-time,off campus
203,Karney,Shrimptone,19,Biology,invalid,garbled_date,2023-03-31,Karney Shrimptone,Hybrid, On-Campus 
131,Lynnelle,Yuill,20,Computer Science,2.48,2019-05-11,11/19/2025,Lynnelle Yuill,Full-time,off campus
185,Della,Astell,22,Biology,0.48,2020-02-05,2023-06-09,Della Astell,Full-time,
922,Florry,Valente,22,History,2.12,2020-09-04,03/26/2025, Florry Valente ,Full-time,on-campus
821,Bobbie,Long,22,History,3.25,12/30/2019,2023-09-26, Bobbie Long ,Full-time,off campus
597,Devland,Bromet,23,History,3.59,2019-08-24,2024-05-06,Devland Bromet,Part-time, On-Campus 
556,Ambrosio,Matysiak,22,Computer Science,1.89,02/11/2021,2024-01-04,Ambrosio Matysiak,Online,on-campus
40,Hayward,Lukianovich,21,Computer Science,3.57,2021-11-07,06/29/2023,Hayward Lukianovich,Full-time,oncampus 
540,Trixy,Chiommienti,18,Computer Science,good,06/04/2020,2025-01-15,Trixy Chiommienti,Part-time,oncampus 
380,Piper,Iwanczyk,20,History,0.75,2019-01-13,2024-11-23,Piper Iwanczyk,Part-time,oncampus 
498,Zandra,Robak,25,Biology,0.6,2019-05-16,07/02/2023,Zandra Robak,Part-time,on-campus
486,Brit,Eseler,21,Computer Science,1.63,05/17/2020,2024-08-20, Brit Eseler ,Full-time,on-campus
601,Leanna,Gookey,25,Computer Science,0.93,12/09/2020,2024-04-14,Leanna Gookey,Part-time,oncampus 
319,Cyndia,Bogges,19,Biology,2.04,2020-06-23,09/14/2023,Cyndia Bogges,Full-time,off campus
892,Krishna,Eskrick,22,History,1.06,2020-07-16,08/17/2023,,Full-time,on-campus
265,Consolata,Shurville,20,History,3.62,11/20/2021,2025-01-31,,Full-time,off campus
344,Shalom,Burl,18,Biology,0.75error,2021-02-14,04/03/2025,Shalom Burl,Full-time,off campus
384,Juana,Brunsden,24,Biology,0.49,12/08/2019,02/14/2023,Juana Brunsden,Full-time,off campus
839,Klarika,Coppeard,18,History,2.88,2021-05-24,2025-01-15, Klarika Coppeard ,Full-time, On-Campus 
538,Kelsy,Dunsmuir,21,Computer Science,good,2021-07-23,10/24/2023, pelsy Dunsmuir ,Part-time,on-campus
28,Gregorius,Wiggett,20,Computer Science,2.97,09/25/2020,2025-06-22,Gregorius Wiggett,Full-time,on-campus
500,Marie-jeanne,Walby,23,History,3.5,,05/24/2025,Marie-jeanne Walby,Full-time,OFFCAMPUS
488,Yorgo,Maund,24,Computer Science,2.25,11/14/2019,08/18/2023, Yorgo Maund ,Full-time,on-campus
721,Marika,Gilliver,24,History,3.34,2019-11-28,04/01/2024,Marika Gilliver,Full-time,
646,Niles,Oldridge,24,History,1.37,2021-10-13,07/06/2025, Niles Oldridge ,Online, On-Campus 
715,Jeff,Durkin,21,Biology,3.67,2025-02-04,04/02/2019, Jeff Durkin ,Full-time,on-campus
281,Agata,Mant,23,History,3.61error,04/15/2021,09/10/2024,Agata Mant,Full-time,on-campus
457,Joycelin,Fawlks,24,Computer Science,invalid,garbled_date,2025-11-11, Joycelin Fawlks ,Online,off campus
914,Amalie,Keeves,22,Biology,1.95,10/16/2020,12/21/2025,Amalie Keebes,Full-time,on-campus
1000,Barrie,Dahlbom,24,History,3.03,05/14/2021,2024-10-11,Barrie Dahlbom,Online, On-Campus 
460,Thaddus,McGuigan,22,Computer Science,2.25,01/15/2019,2023-05-05,Thaddus McGuigan,Online,on-campus
179,Enrica,Larenson,18,Computer Science,2.01,04/24/2020,06/02/2023,Enrica Larenson,Part-time,OFFCAMPUS
579,Betti,Scurr,23,Biology,2.41,2021-04-07,2025-07-12,Betti Scurr,Full-time,off campus
708,Clemmie,Hunnicutt,18,Computer Science,3.43,06/30/2019,2023-08-18,Clemmie Hunnicutt,Full-time,off campus
147,Cosetta,Dyet,24,Biology,3.85,2021-11-06,2025-03-22, Cosetta Dyet ,Full-time,on-campus
361,Miriam,Tollmache,21,Computer Science,1.12,2021-03-15,2024-06-07,Miriam Tollmache,Part-time,on-campus
253,Cecile,Tidbury,18,History,2.46,05/04/2019,2024-11-20,Cecile Tidbury,Full-time, On-Campus 
926,Alfy,Eastope,20,Biology,2.06,01/25/2021,2024-04-28, Alfy Eastope ,Part-time,on-campus
467,Jeremy,Ferryman,25,Biology,1.19,2021-05-14,2025-04-30,Jeremy Ferryman,Part-time,off campus
981,Melesa,Kift,24,Biology,1.79,01/29/2019,2025-03-19, Melesa Kift ,Full-time,off campus
772,Claudina,Di Franceschi,20,History,1.64,2021-11-28,05/17/2023, Claudina Di Franceschi ,Part-time, On-Campus 
739,Goldy,Ivory,21,Biology,1.44,08/10/2020,06/15/2023, poldy Ivory ,Full-time,on-campus
396,Myles,Batrip,19,Computer Science,2.9,04/04/2021,2025-02-20,Myles Batrip,Full-time,off campus
325,Alvina,Lambdean,19,History,0.97,10/19/2021,03/06/2025,Alvina Lambdean,Full-time,off campus
883,Granthem,Spindler,25,History,3.8,08/11/2019,2025-02-04,Granthem Spindler,Part-time,off campus
543,Merl,Haitlie,21,Biology,3.22,08/07/2021,12/26/2024,Merl Haitlie,Full-time,on-campus
53,Kaia,Bestall,25,Computer Science,0.54,04/30/2021,03/07/2025,Kaia Bestall,Part-time, On-Campus 
838,Carmine,Fleote,19,History,1.48,10/14/2019,,Carmine Fleote,Full-time,off campus
814,Mack,Kilcoyne,25,Biology,invalid,garbled_date,2024-03-12,Mack Kilcoyne,Full-time,OFFCAMPUS
59,Rudolph,Rosenblath,24,History,invalid,garbled_date,08/10/2025,Rudolph Rosenblath,Online,oncampus 
93,Sharla,Kleeborn,22,Biology,3.19,,2025-05-17, SharlacKleeborn ,Full-time,off campus
278,Aubrette,Payton,21,History,2.25,2019-04-10,03/13/2025,Aubrette Payton,Full-time,on-campus
236,Shawn,Bertholin,21,History,1.11,2020-03-12,2024-02-08, Shawn Bertholin ,Full-time,off campus
705,Jeralee,Scare,24,Computer Science,2.24,10/11/2020,10/30/2023,Jeralee Scare,Full-time,OFFCAMPUS
54,Natty,Tiltman,21,History,0.37,2020-05-20,2023-06-10,Natty Tiltman,Full-time,on-campus
764,Arleen,Daubney,18,Biology,2.23,06/29/2019,2024-12-14, Arleen Daubney ,Full-time,off campus
669,Padget,Cosgry,20,History,0.14,05/23/2019,05/23/2023, Padget Cosgry ,Full-time,OFFCAMPUS
192,Katharina,McAlroy,18,Computer Science,1.03,2021-06-24,2023-08-24,Katharina McAlroy,Full-time,on-campus
976,Brockie,Zuppa,25,Biology,good,2020-02-16,06/19/2025, Brockie Zuppa ,Full-time,off campus
367,Ramonda,Ivushkin,21,Computer Science,invalid,garbled_date,2024-07-01,Ramonda Ivushkin,Full-time,off campus
817,Anetta,Virr,20,History,0.32,,2023-04-17,fnetta Virr,Hybrid,oncampus 
741,Hamlin,Ivanuschka,22,History,0.64,09/24/2020,10/23/2023,Hamlin Ivanuschka,Full-time,off campus
337,Pegeen,Petry,20,History,10.45,2021-01-19,10/06/2025, Pegeen Petry ,Full-time, On-Campus 
273,Arnie,Quartermain,23,History,invalid,garbled_date,2024-12-14,Arnie Quartermain,Full-time,on-campus
641,Rennie,Scrowston,18,History,1.58,10/19/2019,03/03/2024,Rennie Scrowiton,Full-time,off campus
304,Lois,Sprionghall,19,Biology,11.69,05/14/2019,2023-09-13, LoisqSprionghall ,Part-time,on-campus
872,Bordie,Squibb,24,History,0.96,2025-02-17,06/04/2019,Bordie Squibb,Full-time, On-Campus 
212,Alidia,Clyde,24,Biology,0.57,2019-06-04,06/05/2023,Alidia Clyde,Online,off campus
795,Concettina,Ferrey,22,Biology,3.38,2021-02-07,06/27/2025,Concettina Ferrey,Full-time,oncampus 
837,Gloriane,Mc Coughan,24,History,2.98,2020-08-22,01/22/2025,Gloriane Mc Coughan,Full-time,
562,Hermie,Vooght,24,Biology,3.7,11/26/2021,04/10/2025,Hermie Vooght,Part-time,
181,Chlo,Ratcliffe,25,Computer Science,0.67,10/24/2020,2024-05-16, Chlo Ratcliffe ,Full-time,
566,Dionysus,Dewsnap,18,History,0.81error,04/04/2021,11/05/2024,Dionysus Dewsnap,Part-time,off campus
138,Lita,Costellow,18,History,1.03,2019-03-31,09/20/2023,Lita Costellow,Full-time, On-Campus 
164,Tan,Dugood,18,Computer Science,10.69,09/07/2021,2023-03-14,Tan Dugood,Part-time,on-campus
170,Broddy,Cobb,19,Biology,0.79error,2020-04-25,01/21/2023,Broddy Cobb,Full-time, On-Campus 
585,Chuck,Borchardt,20,Biology,10.68,03/20/2019,2025-07-16,Chuck Borchardt,Hybrid,
616,Wyn,Gorry,18,History,good,2019-05-28,10/18/2024,Wyn Gorry,Full-time,off campus
593,Evie,Brewood,21,Computer Science,invalid,garbled_date,2025-08-06,Evie Brewood,Full-time,oncampus 
858,Annissa,Bassano,20,Biology,1.76,02/02/2021,2024-06-30,Annissa Bassano,Part-time,on-campus
269,Rhona,Wodeland,24,History,1.15,2019-10-10,08/15/2025,Rhona Wodeland,Full-time,on-campus
452,Gabe,Emblow,21,Computer Science,2.02error,07/27/2020,invalid-date,Gabe Emblow,Full-time,off campus
159,Corissa,Flannery,23,Biology,0.4,07/16/2019,11/24/2025, Corissa Flannery ,Full-time,off campus
13,Janel,Gosneye,20,History,1.5,2019-09-21,2025-04-26, Janel Gosneye ,Part-time,oncampus 
193,Kirstyn,Swainger,25,History,2.46,07/16/2021,2024-09-09,Kisstyn Swainger,Full-time,on-campus
657,Felic,Stummeyer,18,Computer Science,0.34,2019-08-08,02/05/2024,Felic Stummeyer,Full-time,on-campus
229,Shandy,O'Regan,19,Biology,invalid,garbled_date,02/28/2025,Shandy O'Regan,Full-time,off campus
973,Moe,Brimley,25,History,0.72,03/23/2021,2025-06-16,Moe Brimley,Full-time,off campus
884,Kristofer,Dominichetti,22,Biology,1.31,2019-07-12,10/24/2023,Kristofer Dominichetti,Full-time,on-campus
802,Amelina,Grimoldby,22,Computer Science,1.08,2021-02-05,2025-05-26,Amelina Grimoldby,Part-time,
423,Carmelle,Lochhead,25,Computer Science,2.38,2021-10-06,04/18/2024, Carmelle Lochhead ,Online,on-campus
198,Clevie,Houdhury,22,Computer Science,0.55,2019-04-09,03/28/2023, Clevie Houdhury ,Full-time,on-campus
957,Wally,Donnersberg,24,Biology,2.21,2020-07-02,2024-06-11,Wally Donnersberg,Full-time,OFFCAMPUS
98,Tara,Fitzsymonds,21,Biology,invalid,garbled_date,11/20/2024,Tara Fitzsymonds,Full-time, On-Campus 
672,Twila,Lowther,25,Computer Science,3.61,2020-03-09,2025-02-04,Twila Lowther,Part-time,on-campus
416,Wernher,Davy,19,Computer Science,12.6,11/23/2021,2025-05-05,Wernher Davy,Full-time,on-campus
358,Yettie,Murricanes,20,History,10.89,05/27/2021,2023-11-08,Yettie jurricanes,Full-time,OFFCAMPUS
546,Livvie,Bastow,19,Computer Science,good,09/25/2019,2024-08-29,Livvie Bastow,Full-time,on-campus
35,Frayda,Klasing,18,Biology,15.0,2020-03-10,2025-11-19,Frayda Klasing,Online,OFFCAMPUS
544,Ferdinande,MacGowing,25,Computer Science,1.17,2021-09-04,2024-06-11,Ferdinande MycGowing,Hybrid,off campus
565,Konstance,Bonicelli,24,Computer Science,3.33,2021-06-16,2024-11-16,Konstance Bonicelli,Online,on-campus
33,Callie,McFee,18,Computer Science,0.26,09/08/2019,,Callie McFee,Part-time,oncampus 
367,Ramonda,Ivushkin,21,Computer Science,invalid,garbled_date,2024-07-01, Ramonda Ivushkin ,Full-time,off campus
162,Elfrida,Hebburn,24,Biology,0.62,2020-10-02,10/06/2025,Elfrida Hebburn,Online,on-campus
101,Charley,Danher,20,History,0.29,2020-10-02,2024-11-05,Charley Danher,Part-time,oncampus 
444,Bond,Noirel,18,Biology,0.25,2021-12-04,2024-12-08,Bond Noirel,Part-time,on-campus
308,Land,Lethibridge,24,Biology,1.74,10/21/2024,2019-10-25, Land Lethibridge ,Full-time,off campus
448,Jennifer,Brosoli,24,Biology,1.8,05/25/2021,03/15/2024,Jennifep Brosoli,Part-time,on-campus
272,Reinald,Semmens,18,Biology,invalid,garbled_date,2023-02-05,Reinald Semmens,Online,oncampus 
865,Adam,Ruddell,21,Biology,15.0,2021-07-03,2023-11-25, Adam Ruddell ,Full-time,on-campus
507,Maureene,Chisman,21,History,2.73,06/11/2020,03/23/2025,Maureene Chisman,Part-time, On-Campus 
905,Eduardo,Tow,22,History,1.17,2024-01-21,03/30/2019,Eduardo Tow,Full-time,on-campus
199,Oralia,Wenderott,24,Computer Science,0.5,11/05/2023,,Oralia Wenderott,Full-time,oncampus 
328,Zorana,Skoggins,23,History,3.11,06/26/2020,2023-05-28,,Full-time,on-campus
464,Merell,Barnardo,18,Biology,invalid,garbled_date,12/10/2023,Merell Barnardo,Full-time,on-campus
391,Westley,Hadden,25,Computer Science,1.32,11/16/2023,07/20/2020,Westley Hadden,Full-time, On-Campus 
374,Christiano,Palluschek,24,History,2.76,07/28/2021,2023-06-24,Christiano Palluschek,Full-time,oncampus 
651,Bruce,Treagust,23,Computer Science,3.44,invalid-date,2023-07-15,Bruce Treagust,Part-time,oncampus 
789,Lyell,McCowan,19,Biology,0.25,01/14/2019,2024-03-05, Lyell McCowan ,Online,on-campus
314,Lucila,Morriss,23,Computer Science,0.31,11/11/2019,2024-06-19,Lucila Morriss,Full-time,on-campus
397,Roselle,Geekin,23,History,1.42,2020-02-10,05/19/2023,Roselle Geekin,Hybrid,on-campus
36,Blancha,Mugford,24,Biology,1.8,12/26/2019,09/20/2024, Blancha Mugford ,Hybrid, On-Campus 
806,Ariella,Carlow,22,Biology,0.68,09/11/2020,2024-01-10,Ariella Carlow,Hybrid,on-campus
312,Constance,Pedican,21,History,2.01,2019-01-04,2023-01-08,Constance Pedican,Full-time,oncampus 
44,Kelsey,Bevington,25,Biology,1.98,2019-12-09,09/17/2025,Kelsey Bevington,Full-time, On-Campus 
201,Guillema,Parrett,20,Biology,2.66,02/26/2021,,Guileema Parrett,Full-time,off campus
650,Hashim,Lorkins,22,Biology,15.0,2020-04-22,08/29/2024,Hashim Lorkins,Full-time,
351,Tamiko,Gisburne,22,Biology,10.61,03/26/2021,2024-10-21,Tamiko Gisburne,Part-time, On-Campus 
353,Fianna,Andrus,19,Computer Science,1.07,02/28/2021,04/14/2023, Fianna Andrus ,Hybrid,on-campus
377,Frederique,Huggin,24,History,11.14,,03/31/2025,Frederique Huggin,Part-time,off campus
227,Eddy,Hutable,19,Biology,2.36,2020-01-14,05/04/2025,Eddy Hutable,Hybrid,off campus
122,Dal,Shutler,21,Computer Science,1.54,2021-04-25,05/05/2023, Dal Shutler ,Full-time,oncampus 
863,Vittorio,Yukhnini,21,Biology,0.72,,12/09/2023,Vittorio Yukhnini,Online,off campus
908,Chery,Dorcey,21,Computer Science,2.19,03/14/2020,2024-12-19,Chery Dorcey,Full-time,on-campus
341,Ranee,Arnout,19,Computer Science,3.15,2020-09-12,2024-12-26, Ranee Arnout ,Part-time,off campus
830,Humfrid,Sterman,19,Computer Science,2.45,06/19/2019,2023-03-16,Humfrid Sterman,Full-time,on-campus
502,Grissel,Goeff,21,History,3.93,12/07/2021,04/27/2024,,Full-time,OFFCAMPUS
855,Honey,Kuschke,21,History,invalid,garbled_date,02/18/2023, Honey Kuschke ,Full-time,off campus
752,Estell,Beaford,25,Biology,1.88,2019-02-17,2023-05-03, Estell Beaford ,Full-time,off campus
316,Maurine,Neat,21,Computer Science,2.39,2019-03-16,01/23/2023,Maurine Neat,Part-time, On-Campus 
