student_id,first_name,last_name,age,gender,major,GPA,enrollment_date,graduation_date,advisor
66,Seymour,O' Dornan,24,Male,History,1.31,10/13/2021,3/21/2023,Seymour O' Dornan
67,Nichols,McGrudder,25,Male,History,2.4,11/30/2021,1/23/2023,Nichols McGrudder
68,Hallie,Winsome,18,Female,Computer Science,1.43,11/19/2019,10/11/2023,Hallie Winsome
69,Oralie,Winterbottom,25,Female,Computer Science,1.25,2/1/2020,1/4/2025,Oralie Winterbottom
70,Lisette,Strothers,21,Female,History,0.41,10/12/2021,8/22/2023,Lisette Strothers
71,Sile,Carman,23,Female,Biology,2.59,8/18/2021,2/17/2024,Sile Carman
72,Artus,Pietron,19,Male,Biology,1.96,12/11/2019,7/11/2025,Artus Pietron
73,Huey,St. John,18,Male,History,0.37,2/23/2019,5/4/2023,Huey St. John
74,Benn,Bottomore,21,Male,Biology,3.51,9/26/2021,11/9/2025,Benn Bottomore
75,Margalo,McDowell,23,Female,Biology,2.09,3/16/2021,7/5/2023,Margalo McDowell
76,Reba,Pauluzzi,25,Female,History,3.71,9/28/2019,1/26/2025,Reba Pauluzzi
77,Germaine,Lamplugh,20,Female,History,1.56,5/25/2020,3/10/2024,Germaine Lamplugh
78,Gladi,Clampe,23,Female,Computer Science,2.47,6/23/2019,1/8/2023,Gladi Clampe
79,Carly,Jablonski,19,Female,Biology,2.05,11/29/2019,12/26/2023,Carly Jablonski
80,Abbott,Woolley,22,Male,Computer Science,1.85,3/6/2020,6/16/2023,Abbott Woolley
81,Stacey,Hambers,21,Female,Biology,3.43,11/25/2021,6/20/2023,Stacey Hambers
82,Sherlock,Darter,19,Male,History,2.55,3/16/2019,3/15/2023,Sherlock Darter
83,Agnella,Moroney,19,Female,Computer Science,2.59,9/2/2020,4/4/2023,Agnella Moroney
84,Cello,Emps,18,Male,Computer Science,0.37,2/27/2020,12/9/2025,Cello Emps
85,Fabian,Colcomb,24,Male,Computer Science,0.84,4/14/2021,2/16/2023,Fabian Colcomb
86,Roosevelt,Lambourne,21,Male,History,2.98,8/18/2021,8/3/2023,Roosevelt Lambourne
87,Zondra,McVicar,20,Female,History,0.81,8/25/2020,2/22/2025,Zondra McVicar
88,Pauletta,Pond,20,Female,Biology,0.03,9/18/2020,7/27/2023,Pauletta Pond
89,Vere,Woosnam,19,Female,Computer Science,2.8,3/19/2019,2/5/2025,Vere Woosnam
90,Katie,Jonk,24,Female,History,3.6,1/1/2021,12/21/2023,Katie Jonk
91,Delainey,Bemand,18,Male,History,1.63,6/27/2019,5/23/2023,Delainey Bemand
92,Jeremias,Tarbatt,18,Male,History,2.69,6/29/2021,8/28/2023,Jeremias Tarbatt
93,Sharla,Kleeborn,22,Female,Biology,3.19,5/5/2021,5/17/2025,Sharla Kleeborn
94,Emmalyn,Dyte,24,Female,Computer Science,2.27,6/19/2019,12/2/2025,Emmalyn Dyte
95,Reidar,Beggi,23,Male,Biology,1.17,10/23/2021,8/16/2023,Reidar Beggi
96,Stormi,Fitton,22,Female,Computer Science,3.71,7/21/2020,4/17/2024,Stormi Fitton
97,Hatti,Pasley,20,Agender,Biology,0.8,9/13/2021,7/19/2025,Hatti Pasley
98,Tara,Fitzsymonds,21,Female,Biology,3.57,5/20/2019,11/20/2024,Tara Fitzsymonds
99,Atlante,Billion,22,Female,History,1.57,1/6/2021,12/2/2025,Atlante Billion
100,Babbie,Murley,24,Female,History,2.77,10/4/2019,3/7/2025,Babbie Murley
101,Charley,Danher,20,Genderqueer,History,0.29,10/2/2020,11/5/2024,Charley Danher
102,Ole,Pridie,18,Male,History,2.08,1/8/2019,3/18/2025,Ole Pridie
103,Hilliard,Branchett,18,Male,History,0.69,4/26/2020,6/8/2023,Hilliard Branchett
104,Kylie,Dumphy,25,Female,History,0.13,1/26/2019,1/27/2023,Kylie Dumphy
105,Claudie,Safont,20,Female,History,1.67,2/25/2021,7/29/2025,Claudie Safont
106,Lian,Mechic,23,Female,Biology,2.56,5/28/2021,8/2/2023,Lian Mechic
107,Dacey,Leitche,22,Female,History,0.15,7/28/2020,10/9/2023,Dacey Leitche
108,Corey,de Almeida,19,Female,Biology,2.18,5/7/2019,5/31/2023,Corey de Almeida
109,Terry,Whitefoot,25,Genderqueer,Biology,0.45,11/29/2019,2/22/2025,Terry Whitefoot
110,Gradey,Cheale,19,Male,Biology,3.92,1/8/2021,11/24/2025,Gradey Cheale
111,Guinevere,Van der Spohr,21,Female,Computer Science,2.86,7/27/2020,10/16/2025,Guinevere Van der Spohr
112,Garrek,Sans,22,Non-binary,Biology,2.26,6/30/2020,2/20/2025,Garrek Sans
113,Tracie,Fishlock,25,Male,History,2.02,1/3/2021,3/7/2024,Tracie Fishlock
114,Giles,Forsaith,25,Male,Computer Science,2.63,12/10/2019,5/17/2024,Giles Forsaith
115,Cecelia,Pickthall,20,Female,Computer Science,1.14,4/13/2021,6/30/2024,Cecelia Pickthall
116,Natassia,Bergeon,19,Female,Computer Science,3.17,3/19/2019,5/26/2024,Natassia Bergeon
117,Doti,McCuthais,18,Female,History,0.88,4/30/2021,10/3/2024,Doti McCuthais
118,Ezri,Carrier,21,Male,Computer Science,0.27,12/23/2021,6/15/2025,Ezri Carrier
119,Caryl,Dyte,23,Male,Computer Science,1.89,8/2/2019,6/8/2023,Caryl Dyte
120,Cherlyn,Bertrand,18,Female,Computer Science,2.71,12/13/2021,3/10/2023,Cherlyn Bertrand
121,Gino,Bickerdike,22,Male,Computer Science,2.91,5/17/2020,1/16/2023,Gino Bickerdike
122,Dal,Shutler,21,Male,Computer Science,1.54,4/25/2021,5/5/2023,Dal Shutler
123,Davis,Ebbutt,21,Male,Biology,0.1,10/13/2021,9/3/2023,Davis Ebbutt
124,Jorge,Girardez,19,Male,Computer Science,3.31,7/31/2020,3/15/2025,Jorge Girardez
125,Joshuah,Surcombe,19,Male,Computer Science,1.57,8/9/2019,8/8/2023,Joshuah Surcombe
126,Marijn,Gulk,25,Male,Computer Science,1,10/2/2021,11/12/2023,Marijn Gulk
127,Darby,Kilfedder,22,Female,Biology,2.75,9/10/2020,4/29/2023,Darby Kilfedder
128,Joshua,Pidler,22,Male,History,1.45,3/12/2020,6/16/2025,Joshua Pidler
129,Sherye,Magauran,25,Female,Computer Science,0.13,2/5/2021,10/23/2025,Sherye Magauran
130,Dalenna,Kiellor,25,Female,Biology,0.29,11/7/2021,8/20/2023,Dalenna Kiellor
131,Lynnelle,Yuill,20,Genderfluid,Computer Science,2.48,5/11/2019,11/19/2025,Lynnelle Yuill
132,Shirlene,Markie,21,Female,Computer Science,0.27,7/30/2020,8/7/2023,Shirlene Markie
133,Gipsy,Grestye,20,Female,History,0.8,6/6/2020,10/13/2025,Gipsy Grestye
134,Brander,Godard,18,Male,History,3.27,4/25/2020,8/15/2025,Brander Godard
135,Keri,Pernell,19,Female,Computer Science,0.64,11/27/2021,5/22/2025,Keri Pernell
136,Cathleen,Dreakin,22,Female,History,0.27,5/9/2019,5/17/2023,Cathleen Dreakin
137,Raul,Fussey,20,Male,History,3.9,6/27/2019,10/28/2023,Raul Fussey
138,Lita,Costellow,18,Female,History,0.74,3/31/2019,9/20/2023,Lita Costellow
139,Marjie,Correa,24,Female,Biology,0.61,3/12/2019,1/30/2025,Marjie Correa
140,Bernie,Ancketill,18,Male,History,1.18,11/30/2020,8/4/2024,Bernie Ancketill
141,Magdalene,Foreman,18,Female,Computer Science,1.7,5/16/2021,10/25/2024,Magdalene Foreman
142,Minetta,Wynter,18,Female,Computer Science,2.42,6/29/2019,6/2/2023,Minetta Wynter
143,Claudie,Geare,25,Female,Computer Science,3.47,12/19/2019,9/2/2024,Claudie Geare
144,Matthiew,Gartsyde,18,Male,Computer Science,3.39,1/23/2021,7/17/2023,Matthiew Gartsyde
145,Griswold,Popping,21,Male,History,1.82,4/28/2021,5/4/2023,Griswold Popping
146,Thomas,Turnor,21,Non-binary,Computer Science,3.85,8/15/2019,8/19/2025,Thomas Turnor
147,Cosetta,Dyet,24,Female,Biology,3.85,11/6/2021,3/22/2025,Cosetta Dyet
148,Geralda,Doniso,19,Female,History,3.81,2/9/2021,2/12/2023,Geralda Doniso
149,Else,Silvers,19,Female,Computer Science,1.1,9/5/2021,7/25/2025,Else Silvers
150,Van,Preddle,20,Female,Biology,3.18,3/3/2020,11/2/2023,Van Preddle
151,Osbourne,Towson,22,Male,Biology,1.34,12/30/2021,4/20/2023,Osbourne Towson
152,Ethel,Lambertazzi,18,Female,Computer Science,1.73,7/12/2019,12/8/2025,Ethel Lambertazzi
153,Milly,Gimbart,22,Female,Biology,3.57,9/12/2021,12/17/2023,Milly Gimbart
154,Leslie,Korb,23,Female,Biology,0.76,6/1/2019,1/26/2023,Leslie Korb
155,Shae,Triswell,23,Female,Biology,0.2,3/16/2020,7/23/2024,Shae Triswell
156,Klarrisa,Dumbare,22,Female,History,0.21,4/25/2020,3/25/2025,Klarrisa Dumbare
157,Noak,Brecknell,22,Male,Computer Science,1.06,5/28/2021,11/22/2025,Noak Brecknell
158,Ellsworth,Nice,24,Male,History,0.32,10/5/2019,11/12/2023,Ellsworth Nice
159,Corissa,Flannery,23,Female,Biology,0.4,7/16/2019,11/24/2025,Corissa Flannery
160,Bourke,Iannetti,25,Male,Computer Science,2.79,10/19/2019,12/22/2025,Bourke Iannetti
161,Sidney,McKeag,22,Male,History,3.58,12/13/2019,4/29/2023,Sidney McKeag
162,Elfrida,Hebburn,24,Female,Biology,0.62,10/2/2020,10/6/2025,Elfrida Hebburn
163,Rodi,Nevill,18,Female,Computer Science,0.91,10/23/2019,7/1/2023,Rodi Nevill
164,Tan,Dugood,18,Male,Computer Science,0.69,9/7/2021,3/14/2023,Tan Dugood
165,Dar,Renouf,20,Male,Biology,3.18,2/7/2019,12/1/2024,Dar Renouf
166,Kimberli,McVity,20,Female,Biology,1.65,8/7/2019,6/27/2025,Kimberli McVity
167,Berne,Pimblott,23,Male,Computer Science,0.77,3/19/2021,4/2/2023,Berne Pimblott
168,Horten,Schlagtmans,19,Male,History,0.18,9/8/2020,5/15/2024,Horten Schlagtmans
169,Edwin,Woolnough,24,Male,History,3.37,1/25/2020,4/9/2023,Edwin Woolnough
170,Broddy,Cobb,19,Bigender,Biology,0.79,4/25/2020,1/21/2023,Broddy Cobb
171,Ariel,Knoles,20,Male,History,2.2,3/27/2021,6/18/2025,Ariel Knoles
172,Irv,Nisco,25,Male,History,0,3/31/2021,7/31/2025,Irv Nisco
173,Donal,Elington,21,Male,History,0.01,5/20/2021,2/26/2023,Donal Elington
174,Joshuah,Jankin,22,Male,Computer Science,2.9,9/26/2019,1/11/2025,Joshuah Jankin
175,Meghan,Ithell,25,Female,Computer Science,3.73,8/22/2021,12/28/2024,Meghan Ithell
176,Grayce,Kleinholz,18,Female,Computer Science,1.35,9/24/2019,1/2/2023,Grayce Kleinholz
177,Uriah,Braunes,18,Male,Biology,2.79,5/18/2020,1/21/2023,Uriah Braunes
178,Margy,Peatheyjohns,20,Female,History,1.36,5/14/2021,7/2/2024,Margy Peatheyjohns
179,Enrica,Larenson,18,Female,Computer Science,2.01,4/24/2020,6/2/2023,Enrica Larenson
180,Rhett,Tiernan,24,Male,Biology,2.62,9/10/2021,5/26/2025,Rhett Tiernan
181,Chlo,Ratcliffe,25,Non-binary,Computer Science,0.67,10/24/2020,5/16/2024,Chlo Ratcliffe
182,Marybeth,Clementson,18,Female,Biology,1.78,9/28/2021,10/5/2024,Marybeth Clementson
183,Anatollo,Tetley,22,Male,Computer Science,2.07,1/10/2020,10/4/2025,Anatollo Tetley
184,Gerda,Fickling,22,Female,Computer Science,0.33,10/17/2019,9/18/2025,Gerda Fickling
185,Della,Astell,22,Female,Biology,0.48,2/5/2020,6/9/2023,Della Astell
186,Cloris,Iacavone,23,Female,Computer Science,3.62,4/21/2020,3/26/2025,Cloris Iacavone
187,Carolyne,Delgaty,18,Genderfluid,Biology,1.73,1/20/2021,1/30/2024,Carolyne Delgaty
188,Beau,Battrick,22,Male,Biology,1.02,2/8/2021,11/18/2025,Beau Battrick
189,Kathryne,Pontefract,23,Genderqueer,Biology,2.83,5/26/2019,9/10/2024,Kathryne Pontefract
190,Hale,Rubenczyk,18,Male,Biology,1.85,10/14/2021,2/24/2024,Hale Rubenczyk
191,Leonie,Bitchener,24,Female,Biology,2.43,6/1/2021,4/11/2023,Leonie Bitchener
192,Katharina,McAlroy,18,Female,Computer Science,1.03,6/24/2021,8/24/2023,Katharina McAlroy
193,Kirstyn,Swainger,25,Female,History,2.46,7/16/2021,9/9/2024,Kirstyn Swainger
194,Cherry,Headey,21,Female,Computer Science,0.28,3/21/2021,9/20/2023,Cherry Headey
195,Haleigh,Click,18,Male,Biology,2.57,5/12/2020,12/23/2023,Haleigh Click
196,Krystle,Rooson,24,Genderfluid,Biology,0.27,9/21/2019,6/8/2024,Krystle Rooson
197,Correna,Biddulph,19,Female,Computer Science,1.5,7/7/2020,12/7/2024,Correna Biddulph
198,Clevie,Houdhury,22,Polygender,Computer Science,0.55,4/9/2019,3/28/2023,Clevie Houdhury
199,Oralia,Wenderott,24,Female,Computer Science,0.5,8/29/2020,11/5/2023,Oralia Wenderott
200,Alanson,McClosh,23,Male,Computer Science,2.18,9/19/2020,8/3/2025,Alanson McClosh
201,Guillema,Parrett,20,Female,Biology,2.66,2/26/2021,2/4/2025,Guillema Parrett
202,Louie,Sumpter,25,Male,History,3.08,3/25/2020,11/29/2023,Louie Sumpter
203,Karney,Shrimptone,19,Male,Biology,0.64,7/15/2021,3/31/2023,Karney Shrimptone
204,Irwinn,Bowerman,25,Genderfluid,Biology,0.01,4/10/2020,7/25/2025,Irwinn Bowerman
205,Dario,Tansley,22,Male,History,1.05,9/24/2020,2/9/2023,Dario Tansley
206,Melonie,Clawley,19,Female,Biology,1.34,1/17/2020,9/9/2025,Melonie Clawley
207,Dietrich,Lewknor,23,Agender,Computer Science,2.84,4/15/2021,12/12/2025,Dietrich Lewknor
208,Danica,Chopin,25,Female,Biology,3.1,1/27/2020,9/17/2024,Danica Chopin
209,Briggs,Gorrie,21,Male,History,3.53,1/21/2020,8/30/2023,Briggs Gorrie
210,Ailbert,Cocks,21,Male,Computer Science,3.58,9/20/2021,6/29/2024,Ailbert Cocks
211,Taddeo,Skitt,21,Male,Biology,0.55,6/27/2019,7/20/2024,Taddeo Skitt
212,Alidia,Clyde,24,Female,Biology,0.57,6/4/2019,6/5/2023,Alidia Clyde
213,Joachim,Babington,23,Male,History,1.44,6/20/2020,6/5/2023,Joachim Babington
214,Correy,Yakovitch,18,Male,Computer Science,2.92,6/26/2019,4/10/2025,Correy Yakovitch
215,Perrine,Pirt,20,Female,History,1.36,7/22/2021,2/24/2024,Perrine Pirt
216,Pierre,Pischof,22,Male,History,1.35,12/3/2021,4/19/2025,Pierre Pischof
217,Balduin,Dasent,24,Male,Computer Science,0.54,6/21/2021,4/23/2023,Balduin Dasent
218,Eada,McGready,25,Female,History,1.08,12/27/2020,9/18/2023,Eada McGready
219,Arturo,McEnery,25,Male,Biology,0.8,1/25/2020,8/19/2023,Arturo McEnery
220,Emerson,Najara,25,Male,History,0.24,2/15/2020,4/23/2024,Emerson Najara
221,Roberto,Splevings,22,Male,History,1.17,7/4/2020,1/26/2023,Roberto Splevings
222,Ardelis,Jacobovitz,25,Female,History,2.19,1/12/2019,3/20/2025,Ardelis Jacobovitz
223,Benson,Brando,23,Male,Biology,1.76,6/27/2019,1/31/2023,Benson Brando
224,Waverly,Piscopo,21,Male,Biology,2.75,1/23/2021,5/25/2024,Waverly Piscopo
225,Arabelle,Earsman,20,Female,History,0.31,8/7/2020,9/7/2025,Arabelle Earsman
226,Garrott,Trudgeon,22,Male,Computer Science,1.65,3/29/2019,7/7/2023,Garrott Trudgeon
227,Eddy,Hutable,19,Male,Biology,2.36,1/14/2020,5/4/2025,Eddy Hutable
228,Weider,Breffitt,21,Male,Computer Science,2.63,6/29/2021,2/18/2025,Weider Breffitt
229,Shandy,O'Regan,19,Female,Biology,3.42,7/15/2021,2/28/2025,Shandy O'Regan
230,Tremain,Slayford,19,Male,History,2.73,8/19/2021,6/7/2023,Tremain Slayford
231,Elinore,Blucher,25,Female,Computer Science,3.58,4/7/2019,10/15/2023,Elinore Blucher
232,Waneta,Bangley,20,Female,History,0.1,8/9/2020,11/1/2025,Waneta Bangley
233,Appolonia,Cloake,20,Female,Biology,0.98,11/7/2020,7/8/2024,Appolonia Cloake
234,Ursulina,Stave,20,Female,History,3.57,12/17/2020,12/27/2024,Ursulina Stave
235,Mile,Glaister,23,Male,Biology,0.09,8/31/2019,4/6/2024,Mile Glaister
236,Shawn,Bertholin,21,Male,History,1.11,3/12/2020,2/8/2024,Shawn Bertholin
237,Gustav,Hegel,21,Male,Biology,0.19,8/7/2020,1/28/2023,Gustav Hegel
238,Valaree,Ramsbottom,21,Female,Biology,0.17,9/29/2020,8/31/2025,Valaree Ramsbottom
239,Gustavus,Fawdry,22,Male,Biology,3.14,7/10/2020,8/15/2024,Gustavus Fawdry
240,Kiel,Halewood,20,Male,Computer Science,0.3,6/9/2019,6/15/2023,Kiel Halewood
241,Doralynn,Kennicott,19,Female,Computer Science,3.26,12/25/2019,1/3/2025,Doralynn Kennicott
242,Emilia,Hadkins,20,Female,History,3.34,1/10/2019,1/30/2024,Emilia Hadkins
243,Damaris,Dedenham,23,Genderqueer,Biology,1.07,2/5/2020,2/10/2024,Damaris Dedenham
244,Kain,Gilfoy,19,Male,History,2.41,10/13/2019,1/7/2024,Kain Gilfoy
245,Marchelle,Gillham,22,Female,Computer Science,3.76,7/20/2019,10/31/2024,Marchelle Gillham
246,Dorey,Peinton,25,Female,Biology,2.88,8/16/2021,10/26/2025,Dorey Peinton
247,Esther,Garlee,20,Female,Computer Science,3.74,2/14/2019,3/17/2023,Esther Garlee
248,Welby,Daice,18,Male,History,3.05,1/12/2020,10/3/2025,Welby Daice
249,Mirna,Leroux,19,Female,History,2.48,4/12/2019,2/24/2024,Mirna Leroux
250,Erena,Rex,18,Female,Computer Science,2.24,12/28/2021,1/30/2025,Erena Rex
251,Torey,Island,24,Female,Biology,0.81,4/4/2021,6/30/2024,Torey Island
252,Doro,Kollasch,24,Female,Biology,2.22,4/6/2019,2/9/2023,Doro Kollasch
253,Cecile,Tidbury,18,Female,History,2.46,5/4/2019,11/20/2024,Cecile Tidbury
254,Giovanna,Maccari,23,Female,Biology,0.28,12/7/2021,4/4/2025,Giovanna Maccari
255,Margret,Hugonet,18,Bigender,Biology,0.42,2/8/2020,3/26/2025,Margret Hugonet
256,Aldric,Diss,20,Male,Biology,0.26,3/5/2020,7/17/2025,Aldric Diss
257,Mellicent,Drewet,18,Female,History,2.01,9/6/2019,5/29/2024,Mellicent Drewet
258,Cleveland,Blaes,25,Male,History,3.09,9/6/2021,12/9/2025,Cleveland Blaes
259,Cyndia,Hastler,21,Female,History,1.79,3/15/2019,5/5/2024,Cyndia Hastler
260,Miriam,Androsik,18,Female,Biology,0.98,3/16/2020,11/21/2023,Miriam Androsik
261,Ambrose,Thoms,22,Male,Biology,2.61,4/17/2020,8/4/2023,Ambrose Thoms
262,Reggi,Collicott,21,Female,History,2.44,3/5/2019,5/10/2023,Reggi Collicott
263,Ivette,Wilkin,20,Genderfluid,Computer Science,1.09,5/7/2021,12/16/2023,Ivette Wilkin
264,Bernardine,Crommett,21,Female,History,0.83,8/13/2019,11/20/2024,Bernardine Crommett
265,Consolata,Shurville,20,Female,History,3.62,11/20/2021,1/31/2025,Consolata Shurville
266,Cicely,Walbrook,18,Female,Computer Science,1.76,10/19/2021,11/9/2025,Cicely Walbrook
267,Hewitt,Fridaye,19,Male,Biology,1.16,9/20/2019,12/22/2024,Hewitt Fridaye
268,Leonidas,Spada,25,Male,History,1.28,8/29/2019,7/11/2023,Leonidas Spada
269,Rhona,Wodeland,24,Female,History,1.15,10/10/2019,8/15/2025,Rhona Wodeland
270,Gilemette,Watsam,19,Female,Biology,3.11,6/25/2021,4/25/2024,Gilemette Watsam
271,Ervin,Gress,21,Male,Computer Science,1.38,7/23/2020,11/11/2024,Ervin Gress
272,Reinald,Semmens,18,Male,Biology,1.71,7/22/2019,2/5/2023,Reinald Semmens
273,Arnie,Quartermain,23,Genderqueer,History,3.17,9/27/2020,12/14/2024,Arnie Quartermain
274,Inge,Kynvin,18,Female,Computer Science,3.52,2/15/2019,10/10/2023,Inge Kynvin
275,Luciano,Jahnisch,23,Male,Computer Science,1.41,5/3/2021,11/14/2025,Luciano Jahnisch
276,Julius,Monument,19,Male,Computer Science,3.2,10/4/2019,5/28/2023,Julius Monument
277,Christa,Brownsea,19,Female,Computer Science,3.26,5/5/2019,1/1/2023,Christa Brownsea
278,Aubrette,Payton,21,Female,History,2.25,4/10/2019,3/13/2025,Aubrette Payton
279,Michal,Gibbard,20,Male,Biology,3.91,10/16/2019,12/9/2024,Michal Gibbard
280,Jone,Dimanche,20,Male,Computer Science,1.12,1/31/2019,5/10/2025,Jone Dimanche
281,Agata,Mant,23,Female,History,3.61,4/15/2021,9/10/2024,Agata Mant
282,Germaine,Crudge,25,Genderfluid,History,0.76,4/1/2019,6/18/2025,Germaine Crudge
283,Lianna,L'Hommee,19,Female,History,0.89,7/26/2020,10/31/2023,Lianna L'Hommee
284,Jakob,Cordner,24,Male,Biology,1.32,5/9/2019,3/11/2025,Jakob Cordner
