student_id,first_name,last_name,age,funds,major,GPA,enrollment_date,graduation_date,advisor
98,Brnaby,Belbin,23,,History,1.76,8/11/2019,3/1/2024,
99,Fredia,,20,11082547.82,Biology,1.37,1/13/2021,10/18/2023,Fredia Pocknell
100,Ann,,23,76210554.32,Biology,3.34,2/29/2020,11/1/2024,Ann Collingham
101,Lucie,Piggen,25,16581355.41,History,2.06,9/14/2019,12/24/2023,
102,Angeli,,22,4236250.99,Computer Science,0.2,7/8/2021,2/2/2024,Angeli Chisnall
103,,,21,27731511.73,Computer Science,3.81,5/20/2019,10/1/2023,Karlens Vedeniktov
104,Vernor,Seamon,25,40330353.77,Biology,1.8,12/10/2021,2/10/2025,Vernor Seamon
105,Chanda,Dransfield,21,,History,1.55,5/12/2019,1/16/2025,Chanda Dransfield
106,Godart,Beddin,23,,Computer Science,0.54,7/8/2020,7/25/2024,Godart Beddin
107,Rey,Makepeace,21,,History,1.19,10/12/2020,2/11/2024,Rey Makepeace
108,Nikolaus,Plenty,20,,Biology,0.34,12/10/2019,7/17/2024,Nikolaus Plenty
109,Gene,Leal,22,,History,1.01,7/8/2020,5/1/2024,Gene Leal
110,Polly,,24,6385975.92,Computer Science,3.98,6/18/2021,12/7/2024,Polly Grevile
111,Debbi,Benam,25,,Computer Science,1.34,10/18/2020,5/14/2023,Debbi Benam
112,Immanuel,,25,,Computer Science,2.07,2/17/2019,5/5/2025,Immanuel Bellie
113,Ilyse,Tow,18,27881657.49,History,0.82,9/10/2019,7/12/2025,
114,Rayner,,23,94402246.95,Biology,2.58,3/11/2021,2/20/2025,Rayner Boadby
115,Israel,,20,99660087.49,History,1.29,3/20/2021,8/7/2023,Israel Clayborn
116,Chrystel,Virr,22,89117338.88,Computer Science,3.59,3/20/2020,3/21/2023,Chrystel Virr
117,Fidel,Fridd,20,79934989.54,Computer Science,1.58,3/3/2021,4/24/2025,Fidel Fridd
118,Tracey,,18,21873049.85,Biology,2.13,2/22/2021,4/25/2024,Tracey Catonne
119,Angel,,20,18238984.65,History,0.84,6/18/2021,5/4/2023,Angel Lasslett
120,Kate,Volet,23,,Biology,3.91,7/11/2019,4/12/2024,Kate Volet
121,Juditha,Craigg,18,,Computer Science,2.28,3/16/2019,12/12/2025,Juditha Craigg
122,,,23,33287433.49,Biology,2.24,2/11/2020,1/4/2023,Filberte Goozee
123,,Vondruska,24,74196285.64,Computer Science,2.97,8/17/2021,9/27/2024,Rica Vondruska
124,Lucien,Poxton,25,758278.07,Biology,2.58,9/9/2020,7/4/2023,Lucien Poxton
125,Tani,Burkinshaw,23,97784816.22,Computer Science,3.62,7/16/2019,12/26/2025,Tani Burkinshaw
126,Jarrad,,24,17934960.44,History,2.24,7/1/2019,3/1/2024,Jarrad Rignall
127,Camel,,24,14356739.71,Biology,3.85,9/1/2020,12/14/2025,Camel MacGuffie
128,Amelie,Peddel,18,,History,2.28,9/11/2020,10/8/2025,Amelie Peddel
129,Delmor,Bealing,19,,Biology,3.87,3/29/2021,3/6/2025,Delmor Bealing
130,Jory,Kellar,19,57518672.53,History,1.97,6/11/2021,10/18/2024,Jory Kellar
131,Lazarus,Mc Menamin,18,99810259.22,Computer Science,1.25,7/2/2019,12/14/2023,Lazarus Mc Menamin
132,,Mee,24,5560931.72,Computer Science,3.98,3/12/2021,3/30/2023,Elvis Mee
133,Alick,Bickerstasse,19,17389682.28,History,0.17,9/14/2021,10/14/2024,Alick Bickerstasse
134,Yvon,Shulem,23,,History,1.21,5/13/2020,5/13/2025,Yvon Shulem
135,Myrna,McGurk,21,50578655.79,Biology,0.18,8/26/2019,3/7/2025,Myrna McGurk
136,Blaine,Garroch,20,86400731.03,Computer Science,0.5,3/17/2021,11/14/2025,Blaine Garroch
137,,Jiruch,18,,History,2.31,5/5/2021,6/22/2025,Tiebold Jiruch
138,Lori,,20,56644404.98,Computer Science,2.65,2/3/2020,4/17/2023,Lori McNelis
139,Marisa,Beszant,24,72153120.45,Biology,2.84,12/30/2021,2/19/2024,
140,Arline,,20,76358884.81,Biology,3.67,8/5/2021,8/31/2024,Arline Filipyev
141,Aubrie,Akitt,24,22393166.05,Computer Science,2.67,12/29/2021,5/3/2024,Aubrie Akitt
142,Ezmeralda,Currington,23,47303523.22,Computer Science,0.49,10/19/2021,12/17/2024,Ezmeralda Currington
143,Vera,Grimsdyke,24,31195114.41,History,1.42,12/13/2020,11/9/2025,Vera Grimsdyke
144,Mozelle,Freschini,19,24192041.14,History,1.36,5/7/2021,7/21/2025,
145,Ryan,Yuryaev,24,27626360.88,Computer Science,2.63,8/1/2020,6/20/2025,Ryan Yuryaev
146,Gordon,,18,61732103.1,Computer Science,0.31,10/25/2020,12/11/2024,Gordon Muat
147,Clemmie,Wellbeloved,24,84505684.76,Computer Science,2.64,10/8/2019,10/14/2024,Clemmie Wellbeloved
148,Cherida,,23,64649857.67,Computer Science,3.96,9/4/2020,9/29/2024,Cherida Tollerfield
149,Lonny,Karlik,21,46686693.94,Computer Science,1.45,12/6/2019,10/18/2023,Lonny Karlik
150,Guido,Bice,19,,Biology,2.59,7/1/2021,7/31/2024,Guido Bice
151,,Prangle,19,1642879.84,Biology,2.93,6/7/2021,10/13/2023,Simeon Prangle
152,,Robertelli,21,44864530.63,Biology,1.06,4/3/2020,6/19/2024,Lucita Robertelli
153,Carlee,Huggard,22,69369846.28,Computer Science,1.31,7/1/2020,8/21/2024,Carlee Huggard
154,Katina,,22,32885680.91,History,2.02,3/7/2020,5/8/2024,Katina Whorall
155,Immanuel,Stoeckle,24,73084712.86,Computer Science,3.91,11/30/2021,11/17/2024,Immanuel Stoeckle
156,Arley,,25,78323282.66,Computer Science,0.99,3/4/2020,7/10/2023,Arley Silson
157,Izak,Loftin,22,77806592.21,Biology,3.59,4/18/2019,6/20/2024,
158,Dorian,Renney,19,76139959.42,Biology,2.92,1/30/2019,8/21/2024,Dorian Renney
159,Perry,Dumbarton,22,,History,0.72,2/27/2019,6/22/2025,
160,,Lightowler,20,19574827.43,History,2.16,9/4/2019,12/16/2024,Sally Lightowler
161,Eda,Wimbury,21,,Computer Science,3.6,3/17/2020,7/17/2025,
162,Morly,Gellately,19,80317601.74,History,3.86,11/29/2020,9/14/2024,Morly Gellately
163,Dominica,Hewins,21,97542217.55,Computer Science,0.87,6/14/2021,5/22/2025,Dominica Hewins
164,Charyl,Piggins,23,76169641.27,Computer Science,0.63,11/3/2020,12/25/2024,Charyl Piggins
165,Alfonse,,23,85906159.48,Computer Science,1.33,6/28/2020,2/8/2025,Alfonse Caley
166,Charlie,Danbi,24,,History,1.05,4/19/2020,7/18/2024,Charlie Danbi
167,Rey,,20,77355927.24,Computer Science,3.08,6/9/2019,5/29/2024,Rey Book
168,Britta,Wippermann,21,31051784.77,Biology,3.3,8/13/2021,9/26/2024,Britta Wippermann
169,,Langlands,20,,History,0.68,8/25/2020,10/8/2023,Charisse Langlands
170,Pauly,Denley,25,,Computer Science,2.54,7/26/2021,4/23/2024,Pauly Denley
171,Fifine,Luney,25,97589935.28,Biology,2.89,11/28/2020,2/23/2025,
172,,Mityakov,23,55670465.03,History,3.53,3/27/2019,8/20/2023,Trixi Mityakov
173,Bob,Crafter,21,12921198.38,History,2.09,5/4/2021,4/16/2025,Bob Crafter
174,Shane,Chessell,19,5167936.07,Computer Science,1.21,6/8/2021,4/27/2024,Shane Chessell
175,Jackson,Dominetti,21,39250595.96,Biology,0.57,4/9/2020,4/17/2023,Jackson Dominetti
176,Fredi,Richin,24,39557608.57,Biology,3.91,11/2/2021,10/31/2023,Fredi Richin
177,Philippe,Rafter,23,,History,1.02,6/18/2019,2/16/2023,Philippe Rafter
178,Vito,Gloyens,22,,Biology,2.93,4/5/2020,3/12/2023,Vito Gloyens
179,Goldarina,Bernaciak,19,97807087.34,History,0.18,4/8/2021,11/18/2024,Goldarina Bernaciak
180,Lammond,Joskowitz,19,38673770.07,Biology,3.41,5/20/2020,4/15/2023,Lammond Joskowitz
181,Packston,Fellgett,25,77964295.4,History,2.05,3/18/2020,3/24/2024,Packston Fellgett
182,Jase,Mollatt,20,29363622.01,History,0.42,1/19/2020,3/2/2024,Jase Mollatt
183,Branden,Ballefant,19,920604.49,Computer Science,2.99,7/22/2019,2/18/2025,Branden Ballefant
184,Guntar,Serrels,21,82063386.47,History,2.25,2/12/2020,3/24/2025,
185,Robbyn,Summerley,18,,History,3.26,3/17/2019,10/14/2024,Robbyn Summerley
186,Marcie,Bessell,21,71605224.91,Biology,0.53,9/22/2019,8/11/2024,Marcie Bessell
187,Blair,Idel,20,59787897.39,History,1.79,9/20/2020,7/14/2025,
188,Laurella,Biaggioni,22,73293862.6,History,0.77,9/29/2020,6/2/2023,
189,Brose,,21,96927571.26,Biology,1.99,6/20/2020,5/11/2025,Brose Allot
190,Tully,Marikhin,20,81079243.48,Computer Science,1.07,12/15/2020,5/8/2025,Tully Marikhin
191,Garrott,Bolt,23,37835447.69,Computer Science,3.98,11/23/2020,10/29/2023,
192,Moses,,20,66751623.81,Computer Science,0.36,7/12/2019,11/28/2024,Moses Craw
193,Bentlee,Bestwall,20,81801455.64,History,1.56,7/11/2020,8/5/2024,Bentlee Bestwall
194,Darrick,,22,45436343.67,History,1.65,10/17/2021,7/28/2023,Darrick Quinet
195,Pincas,,19,70883442.09,Computer Science,2.2,7/15/2019,4/15/2024,Pincas Sammut
196,,Fellis,18,65169680.87,Computer Science,0.08,10/2/2020,2/16/2024,Carmelina Fellis
197,Dale,Coll,25,36418979.73,Computer Science,1.11,6/3/2020,2/16/2023,Dale Coll
198,Iosep,McHarry,20,,Biology,0.75,8/4/2021,6/1/2023,Iosep McHarry
199,Charin,,23,78391017.76,History,2.44,10/6/2019,4/12/2023,Charin Fust
200,Barnett,,19,31074100.33,Computer Science,0.66,7/5/2020,1/26/2023,Barnett Hunn
201,Torey,Winship,24,90228110.07,Computer Science,0.53,7/26/2020,3/20/2023,Torey Winship
202,,Pellitt,20,64219446.26,Biology,3.21,7/4/2020,4/30/2023,Inge Pellitt
203,Vince,Geaney,25,43840190.66,Computer Science,0.51,5/3/2021,3/18/2025,Vince Geaney
204,Lenora,Hamlin,23,18023052.37,Biology,1.69,12/1/2021,1/27/2024,
205,Vitia,,21,54117773.18,Computer Science,1.0,6/1/2020,12/5/2023,Vitia Bentick
206,Sherry,Topaz,24,3408160.21,Computer Science,3.47,7/22/2020,11/26/2023,Sherry Topaz
207,Otto,,23,15638611.12,Biology,0.84,1/19/2020,1/10/2025,Otto Folca
208,Bruis,Hanburry,21,7953467.36,Computer Science,0.7,7/10/2021,11/30/2024,Bruis Hanburry
209,,,24,16129813.05,Computer Science,3.85,9/5/2021,12/5/2025,
210,,Harrop,18,7358798.18,Computer Science,1.36,3/4/2021,5/21/2023,Jenda Harrop
211,Lorette,Mountlow,18,52087192.66,Computer Science,0.78,11/25/2020,10/24/2023,Lorette Mountlow
212,,Kuzma,21,,Biology,0.26,10/5/2021,9/26/2025,Steffie Kuzma
213,,Fick,24,17859118.61,History,0.12,11/20/2019,9/6/2025,Abbe Fick
214,Sam,,25,26594076.2,Computer Science,0.8,9/4/2019,12/9/2024,Sam Cobbald
215,Hunt,,24,31380509.29,Biology,1.86,4/29/2020,9/4/2023,Hunt Edinburough
216,Kristal,Sterman,24,10876484.21,Computer Science,0.95,2/5/2021,1/24/2025,Kristal Sterman
217,Kati,Delooze,24,97905331.61,Computer Science,0.38,5/20/2019,10/31/2023,Kati Delooze
218,Anjela,Scraggs,18,5872685.07,History,2.73,3/18/2019,7/31/2023,Anjela Scraggs
219,Cordy,Joris,25,,History,1.05,4/21/2019,6/25/2024,Cordy Joris
220,,Faire,19,,Biology,3.59,5/23/2021,11/4/2025,Miriam Faire
221,Ariadne,,24,,Computer Science,3.74,8/30/2021,10/23/2025,Ariadne Georgi
222,Leese,Prys,19,81893942.98,Biology,1.71,8/27/2021,9/6/2023,Leese Prys
223,Cori,,23,24423100.35,Biology,0.27,11/12/2021,4/18/2025,Cori Yeates
224,,Shannahan,19,50354169.52,History,2.83,2/15/2019,11/2/2025,Torey Shannahan
225,Goldy,Ballay,24,,History,2.11,5/18/2019,7/5/2023,Goldy Ballay
226,Gertruda,,19,62128754.69,Computer Science,2.94,3/19/2021,9/12/2025,Gertruda Lembke
227,Emmanuel,McWard,20,53588314.47,Biology,0.3,5/22/2020,6/27/2024,
228,Joby,,20,46413785.23,Computer Science,3.73,2/1/2019,4/14/2024,Joby Barnicott
229,Arthur,,24,79161918.43,Biology,3.27,9/10/2021,2/10/2023,Arthur Petrushanko
230,Celine,,22,7744584.28,Biology,2.48,6/7/2020,11/7/2025,Celine Pellew
231,,Hardman,18,55162703.8,Computer Science,1.62,6/21/2019,4/4/2025,Dannel Hardman
232,Blondelle,Hawney,22,13519165.04,Computer Science,3.34,11/16/2020,8/26/2024,Blondelle Hawney
233,Willi,Hovey,22,40072364.04,Biology,1.49,5/1/2021,12/29/2024,Willi Hovey
234,Kelcie,Antusch,25,,Biology,0.58,11/5/2020,10/26/2025,Kelcie Antusch
235,Blinnie,Hamflett,18,,Biology,3.8,11/10/2020,6/14/2023,Blinnie Hamflett
236,Tucky,,21,44453976.78,History,0.34,10/9/2020,3/2/2023,Tucky Medland
237,Lorene,,20,42340678.02,Computer Science,0.9,7/6/2021,10/28/2023,Lorene Lahiff
238,Westbrook,Gladbach,22,18841969.49,Biology,3.28,8/16/2020,11/16/2023,Westbrook Gladbach
239,Benn,Kluger,21,15224334.09,History,0.88,8/28/2021,9/27/2025,Benn Kluger
240,Etienne,Reace,25,27868879.14,History,3.84,3/2/2021,5/29/2023,Etienne Reace
241,Molly,Kennermann,23,1660635.86,Biology,1.58,3/7/2019,10/27/2024,Molly Kennermann
242,Eleen,Pallis,19,10250362.72,History,1.03,9/26/2020,10/20/2023,Eleen Pallis
243,Kelci,Sibary,20,60850766.27,History,3.8,3/24/2020,10/4/2024,Kelci Sibary
244,Ermengarde,,18,,History,0.09,9/28/2019,2/3/2025,Ermengarde Cutcliffe
245,Rodney,,20,38616919.51,Computer Science,0.94,9/10/2020,4/16/2025,Rodney Dron
246,Shermie,Buntin,18,47856631.86,Biology,3.26,4/17/2019,1/16/2025,Shermie Buntin
247,Mirelle,Grzelczyk,22,96827688.9,Computer Science,1.97,2/17/2021,7/14/2023,Mirelle Grzelczyk
248,Anthea,,23,15442738.5,Computer Science,3.9,1/29/2020,7/14/2025,Anthea Donnellan
249,Emelina,Halladey,22,,Biology,1.97,1/10/2020,5/4/2025,Emelina Halladey
250,Cheslie,D'Elia,21,55905412.2,History,1.21,12/18/2020,12/25/2025,Cheslie D'Elia
251,Cesare,Itzkovich,18,80272586.84,Biology,0.34,5/19/2021,9/4/2025,Cesare Itzkovich
252,Cynthy,Klouz,25,59472341.85,Biology,0.45,12/30/2019,2/12/2024,Cynthy Klouz
253,Rocky,Garrand,22,63351258.65,Biology,2.84,12/29/2021,9/3/2024,Rocky Garrand
254,Clementina,,23,22898733.76,Computer Science,2.5,8/26/2019,7/19/2023,Clementina Wandrey
255,Eveleen,Antonopoulos,22,43767873.93,History,3.33,9/29/2019,6/1/2025,Eveleen Antonopoulos
256,Victoria,Dimitrijevic,19,94866449.1,History,3.4,5/25/2020,8/3/2025,Victoria Dimitrijevic
257,Daron,Pasby,21,52401492.4,Biology,2.24,6/17/2021,6/15/2024,
258,Delilah,Clail,21,75409037.24,History,2.13,9/13/2019,8/28/2025,Delilah Clail
259,Yehudi,,21,,History,1.52,8/24/2019,3/16/2023,Yehudi Saben
260,Alberik,Handaside,22,,Biology,1.2,12/23/2020,5/5/2023,Alberik Handaside
261,Richart,Hawkings,20,73220985.27,History,1.76,5/7/2020,7/10/2024,Richart Hawkings
262,,,21,8412245.25,Biology,2.43,6/4/2020,2/29/2024,
263,,Wince,21,,Computer Science,0.72,4/16/2020,6/5/2023,Randolf Wince
264,Guinevere,Mc Mechan,18,73575170.57,Biology,2.42,10/15/2019,5/25/2024,Guinevere Mc Mechan
265,Mariam,,23,68009473.71,History,2.26,4/17/2020,12/3/2024,Mariam Lester
266,Melissa,Cronchey,22,81917181.63,History,1.71,11/13/2019,4/15/2025,Melissa Cronchey
267,Minta,,21,35981246.41,History,2.31,10/20/2021,12/5/2025,Minta Clover
268,Rob,,19,69487474.36,Biology,3.79,3/27/2019,10/20/2025,Rob Matevosian
269,Annalee,Loudian,22,,History,2.54,7/15/2019,8/25/2025,Annalee Loudian
270,Milli,Forlonge,24,,Computer Science,3.32,7/14/2020,6/19/2023,
271,Corbet,Croad,25,86611032.76,History,1.19,3/9/2020,8/5/2023,Corbet Croad
272,Phylys,Angus,24,99616765.62,History,0.48,9/2/2021,10/4/2023,Phylys Angus
273,Merrill,,24,60767011.3,History,1.2,10/7/2021,6/2/2024,Merrill Goddert.sf
274,Marget,Key,19,4847762.87,History,1.87,3/22/2021,6/11/2024,Marget Key
275,Maressa,Bleackley,18,,Biology,2.58,3/21/2020,6/2/2025,Maressa Bleackley
276,Aleece,Snoddin,25,,Biology,0.29,5/30/2019,6/12/2023,Aleece Snoddin
277,Carey,McLae,18,16727070.42,Computer Science,1.43,8/5/2021,1/5/2025,
278,Aldous,O'Glessane,22,,Biology,1.09,6/6/2021,12/13/2024,Aldous O'Glessane
279,Talyah,Weeke,24,69978392.67,Computer Science,1.17,1/10/2019,12/11/2025,Talyah Weeke
280,Jozef,Caswall,18,,Computer Science,2.43,9/1/2019,6/6/2024,Jozef Caswall
281,Saunderson,Cowland,22,,History,2.49,12/25/2020,7/19/2025,Saunderson Cowland
282,Guido,,25,64881967.81,Computer Science,2.3,3/24/2021,2/16/2024,
283,Jacquette,Bassom,23,27661758.09,History,1.43,9/16/2021,1/30/2023,Jacquette Bassom
284,,Mauvin,21,53430855.1,Computer Science,2.42,6/3/2019,11/22/2023,Hasheem Mauvin
285,Mace,,20,35383091.51,Computer Science,2.13,6/30/2019,6/19/2024,Mace Tunkin
286,Joey,Duignan,18,,History,2.97,4/27/2021,1/17/2025,Joey Duignan
287,Woodman,Reddy,24,89513013.67,History,2.72,12/11/2021,12/22/2025,Woodman Reddy
288,Tildy,Lemerie,18,97978551.09,Biology,1.08,7/28/2021,1/3/2024,
289,Jakob,Fearnall,20,92256470.3,Biology,2.56,8/17/2020,11/26/2024,Jakob Fearnall
290,Jammie,Piwell,19,51754225.51,History,2.9,7/19/2019,12/11/2023,Jammie Piwell
291,Bernard,Twycross,21,38403772.14,Computer Science,0.68,10/2/2021,10/16/2023,Bernard Twycross
